,experiment,hour,date,device_make,browser,aware
4732,0,7,2,74,4,1
4735,0,7,7,13,2,0
4749,0,12,1,114,5,0
4765,1,21,4,13,1,0
4767,1,17,4,50,2,0
4774,0,15,0,75,4,0
4775,1,19,5,13,2,0
4783,1,21,4,42,4,1
4794,0,15,0,23,4,0
4800,1,6,1,13,1,0
4802,1,11,1,66,2,1
4809,1,11,1,13,1,0
4811,0,22,1,21,4,1
4814,0,1,6,83,7,1
4820,1,16,6,69,7,0
4830,1,14,1,88,2,1
4834,1,18,5,26,1,1
4841,1,20,4,13,1,1
4843,0,2,2,13,1,0
4845,0,15,0,13,1,0
4847,1,4,2,13,1,0
4848,1,19,1,13,1,1
4858,0,17,1,13,1,1
4863,0,8,7,64,2,1
4865,1,7,7,13,1,0
4867,0,15,0,68,4,0
4871,0,1,3,114,5,0
4878,0,15,0,13,1,1
4881,1,2,7,13,1,0
4893,0,15,0,13,1,1
4897,0,1,6,13,1,0
4898,0,1,6,20,1,1
4901,1,5,4,13,1,0
4912,1,17,5,61,2,1
4931,1,3,6,13,1,0
4947,1,14,4,46,7,0
4954,1,18,5,13,1,1
4955,0,15,0,68,4,0
4958,1,20,5,13,1,1
4975,0,4,3,13,1,1
4977,1,20,5,13,1,0
4985,0,21,2,13,1,1
4988,1,15,1,13,1,0
4991,0,3,7,102,2,0
5006,0,10,3,13,1,0
5010,0,15,0,13,1,1
5014,1,14,1,69,2,1
5018,0,6,4,13,1,1
5037,1,19,5,68,2,1
5041,0,15,0,13,1,1
5048,1,22,5,13,1,0
5051,1,6,4,48,2,0
5057,1,20,6,2,4,0
5063,1,11,1,13,1,1
5069,1,23,6,13,1,1
5074,0,7,3,13,1,0
5078,1,14,2,13,1,1
5099,0,11,1,52,7,1
5104,0,17,1,13,1,0
5109,0,15,0,68,2,0
5118,1,6,3,13,1,1
5127,0,18,5,13,1,0
5134,1,18,5,66,2,1
5138,0,15,0,13,1,1
5139,0,15,0,21,2,0
5140,1,5,0,109,2,1
5143,1,18,5,66,2,1
5148,0,9,7,13,1,1
5150,1,7,6,68,2,1
5152,1,19,5,13,1,1
5158,0,7,3,27,2,1
5159,0,12,2,13,1,0
5164,1,1,4,68,2,0
5170,1,3,7,13,1,1
5173,1,19,1,65,7,0
5176,0,15,0,13,1,1
5182,1,19,4,13,1,1
5192,1,7,2,38,2,0
5193,1,5,1,13,1,1
5202,0,11,6,87,7,0
5221,0,15,7,41,7,1
5245,1,11,4,13,1,0
5247,1,4,7,19,4,0
5248,0,5,6,68,2,1
5253,0,15,0,13,1,0
5256,0,8,1,13,1,1
5258,1,13,1,10,2,1
5268,0,15,0,68,7,1
5270,0,15,0,47,7,0
5272,0,15,0,13,1,1
5274,1,4,5,13,1,1
5278,0,9,6,114,5,1
5298,0,15,0,64,7,0
5314,1,11,0,13,4,1
5320,1,18,6,13,1,0
5322,0,11,7,13,1,0
5324,1,4,7,13,1,1
5333,1,12,0,13,1,0
5334,1,17,6,69,2,1
5340,0,5,7,36,4,1
5351,1,7,2,13,1,0
5354,0,15,0,13,1,0
5355,0,7,7,66,2,0
5360,1,22,6,53,2,1
5362,0,21,4,13,1,0
5363,0,5,2,13,1,1
5365,1,14,2,13,1,1
5373,1,0,7,73,4,1
5384,0,15,0,114,5,0
5393,1,16,5,13,1,1
5403,1,21,5,66,2,1
5404,1,14,0,65,2,0
5407,1,15,5,13,1,1
5409,1,6,6,13,1,0
5410,0,17,5,13,1,0
5413,1,12,1,44,4,0
5418,0,9,6,42,7,1
5421,0,19,5,42,7,1
5441,1,12,6,13,1,0
5456,0,15,0,13,1,1
5472,1,9,4,13,4,0
5478,1,17,5,13,1,0
5484,1,11,6,13,1,1
5488,1,13,1,13,1,0
5491,0,21,4,13,1,1
5492,0,12,7,21,1,1
5502,1,21,5,13,1,0
5507,1,5,7,13,1,0
5518,1,17,5,13,1,0
5519,0,16,2,67,4,1
5522,1,16,5,13,1,1
5525,1,5,5,35,2,0
5531,0,15,0,47,7,1
5533,1,7,5,13,1,1
5536,0,13,7,13,1,0
5543,1,12,1,13,1,0
5544,1,6,4,13,2,1
5547,1,5,2,13,1,1
5550,1,3,0,68,2,0
5556,1,10,3,66,2,0
5557,0,15,0,7,2,0
5561,1,7,1,30,2,1
5562,1,6,1,66,2,0
5564,0,15,0,60,7,0
5574,1,17,6,47,7,0
5579,0,4,3,13,1,0
5588,1,2,0,13,1,1
5608,0,11,6,43,7,1
5614,1,15,5,13,1,1
5616,0,22,5,72,4,0
5618,1,11,0,48,2,0
5624,1,13,1,13,1,1
5626,1,12,4,13,1,0
5639,1,2,0,13,1,1
5642,1,20,5,13,1,1
5644,0,15,0,13,1,0
5647,1,21,6,13,1,0
5648,0,15,0,13,1,1
5658,1,3,6,13,1,1
5662,1,7,0,98,2,1
5665,0,0,3,36,4,1
5668,0,15,0,69,4,0
5670,1,20,5,13,1,1
5684,0,15,0,42,1,1
5691,0,8,4,81,7,0
5692,0,18,6,13,1,0
5696,0,15,0,13,1,0
5705,0,14,5,43,2,0
5725,1,13,0,13,1,1
5731,1,19,5,13,1,0
5734,0,14,4,13,1,0
5738,1,12,2,68,4,1
5740,1,6,7,13,1,1
5741,0,15,0,13,1,0
5750,1,13,6,37,2,1
5764,0,9,1,65,4,0
5771,1,18,2,13,1,1
5786,1,2,4,72,7,0
5803,0,0,7,68,4,0
5809,1,14,5,68,2,1
5813,1,10,6,13,1,0
5814,1,18,5,87,2,0
5817,1,0,5,13,1,0
5821,0,13,5,13,1,1
5828,0,15,0,13,1,0
5830,1,1,4,97,2,1
5831,1,12,0,48,2,0
5841,0,15,0,13,1,0
5844,0,11,1,21,1,1
5854,1,2,7,13,1,1
5858,1,15,5,38,2,0
5866,1,0,7,13,1,0
5869,0,13,4,13,1,1
5872,0,0,6,48,2,1
5878,0,12,6,13,1,0
5895,1,17,1,13,1,0
5897,1,6,0,13,1,1
5908,0,11,5,93,4,0
5916,1,6,1,41,2,0
5918,1,4,2,13,1,0
5925,1,5,5,13,1,0
5929,0,15,0,47,7,0
5933,0,3,2,13,1,1
5938,1,0,7,43,2,1
5939,1,16,5,13,1,1
5944,1,8,6,13,1,1
5966,0,15,0,13,1,1
5968,0,15,0,13,1,0
5978,0,15,0,78,2,0
5983,1,15,2,13,1,1
5988,1,9,3,13,1,1
5993,0,6,6,13,1,0
5995,1,17,1,73,7,1
6000,0,15,0,13,1,1
6002,0,1,1,13,1,0
6004,0,15,0,62,2,0
6007,1,19,5,13,1,1
6009,0,20,1,13,1,1
6012,1,13,6,13,1,0
6023,1,22,5,13,1,0
6025,1,9,6,13,1,0
6033,1,15,7,13,1,0
6036,1,16,5,43,2,0
6040,0,15,0,13,1,0
6042,1,4,3,13,1,1
6049,1,6,1,69,2,1
6053,0,9,6,43,2,1
6056,1,10,4,13,1,1
6057,0,11,1,13,1,1
6058,1,20,6,13,1,1
6070,1,12,0,31,2,1
6072,1,2,1,1,4,1
6075,1,20,5,13,1,1
6077,1,10,0,71,2,1
6088,0,10,1,3,4,0
6093,1,8,0,60,2,1
6095,0,12,1,13,1,0
6113,0,15,0,13,1,0
6116,1,7,1,13,1,1
